,stock,risk,avg_multipler
0,gilead_sciences,100.0,0.961394034159167
1,discovery_series_a,51.515151515151516,0.9691225190566871
2,c_h_robinson,100.0,0.9815615172780602
3,activision_blizzard,64.70588235294117,0.9929497113412634
4,clorox,50.0,1.0126351766391313
5,kroger,45.45454545454545,1.012836513793255
6,discovery_series_c,43.333333333333336,1.0249507075398558
7,lumen_technologies,36.36363636363637,1.0506291605406948
8,huntington_ingall_s_industries,30.0,1.0617698316705613
9,newell_brands,52.63157894736842,1.074412883514671
10,southwest_airlines,21.62162162162162,1.0795646352899162
11,cvs_health,33.33333333333333,1.0841018638143625
12,citrix_systems,40.0,1.0851056766954363
13,dollar_general,0.0,1.0883058466322533
14,loews_corporation,22.727272727272727,1.0925725011527143
15,bristol_myers_squibb,23.52941176470588,1.0934716236329514
16,biogen,31.818181818181817,1.0945623674625276
17,omnicom_group,23.52941176470588,1.0968953765365321
18,davita,21.428571428571427,1.1003485935688697
19,consolidated_edison,0.0,1.1089842944776127
20,ipg_photonics,45.614035087719294,1.1160152474948108
21,hp,18.51851851851852,1.117089365745291
22,howmet_aerospace,27.27272727272727,1.1183838827968442
23,mandt_bank,26.08695652173913,1.1194692606311485
24,motorola_solutions,0.0,1.120303232836246
25,las_vegas_sands,26.47058823529412,1.1205647529783431
26,incyte,20.0,1.1234645740072193
27,a_o_smith,25.0,1.1239420894397671
28,akamai_technologies,33.33333333333333,1.1248385427037997
29,general_electric,25.0,1.1260536539317463
30,american_airlines_group,28.749999999999996,1.1287726990197278
31,netapp,37.142857142857146,1.1321236424398475
32,dollar_tree,46.15384615384615,1.133254181275116
33,nisource,0.0,1.1341102281861366
34,northrop_grumman,0.0,1.1368767848086074
35,american_electric_power,0.0,1.1396516247379858
36,nortonlifelock,7.6923076923076925,1.1404473051404773
37,netflix,34.285714285714285,1.14207545837222
38,nielsen_holdings,23.684210526315788,1.1423943908355478
39,dxc_technology,42.64705882352941,1.144888202503857
40,peoples_united_financial,14.285714285714285,1.145796347599188
41,cf_industries,31.57894736842105,1.1466512338983217
42,coterra,10.526315789473683,1.1478143456572647
43,cboe_global_markets,40.0,1.1480983995292073
44,host_hotels_and_resorts,26.923076923076923,1.1487600269547125
45,centene,10.0,1.1518685345461903
46,pfizer,0.0,1.1520564067154824
47,equity_residential,8.333333333333332,1.1541363879625393
48,firstenergy,5.88235294117647,1.154210131105203
49,illumina,17.391304347826086,1.1556632402795313
50,merck,0.0,1.1580786351002308
51,the_hershey_company,0.0,1.1585641058237972
52,abiomed,28.57142857142857,1.1588555575897421
53,packaging_corporation_of_america,30.0,1.1593433756550275
54,arista_networks,30.909090909090907,1.1604368492290988
55,delta_air_lines,21.052631578947366,1.160925397099747
56,edwards_lifesciences,0.0,1.163428961504143
57,boston_properties,15.789473684210526,1.164242101589466
58,marriott_international,25.806451612903224,1.170233462793194
59,all_iant_energy,0.0,1.1731913546885582
60,cms_energy,0.0,1.1737751255622604
61,intel,10.344827586206897,1.1752725009827207
62,alaska_air_group,27.906976744186046,1.1754520409642992
63,pinnacle_west_capital,0.0,1.1755002905901577
64,hilton_worldwide,26.08695652173913,1.1768383611468844
65,mckesson_corporation,0.0,1.1777439095188589
66,ameren_corp,0.0,1.1777650555640677
67,henry_schein,4.3478260869565215,1.1789250639747153
68,nvidia,34.090909090909086,1.1819498592812199
69,ansys,10.0,1.1835901894066052
70,invesco,23.25581395348837,1.1836093800622949
71,philip_morris_international,15.384615384615385,1.1843999214820138
72,american_international_group,34.285714285714285,1.1863146944437934
73,jpmorgan_chase,14.285714285714285,1.1865907501299573
74,becton_dickinson,0.0,1.1867936757813289
75,copart,26.923076923076923,1.1875368935853743
76,amgen,0.0,1.1887929529254844
77,the_cooper_companies,0.0,1.1890655056231059
78,bank_of_america,22.727272727272727,1.1893209218433152
79,coca_cola,0.0,1.18963139446453
80,progressive_corporation,0.0,1.189923479057097
81,comcast,0.0,1.1900372198688363
82,cigna,31.57894736842105,1.1905147673648686
83,cincinnati_financial,47.05882352941176,1.1933977299653538
84,"""3m""",40.0,1.194734219731475
85,entergy,0.0,1.1954755120081755
86,newmont,0.0,1.1957418466551208
87,l3harris_technologies,0.0,1.1958416912084753
88,monster_beverage,16.666666666666664,1.198160032479319
89,evergy,0.0,1.1986714387881203
90,public_storage,0.0,1.2008733392895963
91,fox_corporation_class_a,8.695652173913043,1.2008847513304186
92,atmos_energy,0.0,1.2021983469738347
93,interpublic_group,17.391304347826086,1.2035363938713095
94,baxter_international,0.0,1.2042864297848244
95,cognizant_technology_solutions,4.3478260869565215,1.2045787711305858
96,organon_and_co,0.0,1.20581104748889
97,gartner,11.11111111111111,1.2060936905635427
98,amerisourcebergen,0.0,1.2064369518654485
99,procter_and_gamble,0.0,1.2074472371767455
100,fedex,20.0,1.2074871408883192
101,cardinal_health,15.0,1.2081748424741776
102,globe_life,16.666666666666664,1.2094456263691744
103,all_egion,7.142857142857142,1.2100602042962731
104,cerner,0.0,1.2110023256546343
105,aon,0.0,1.2127709494762036
106,colgate_palmolive,0.0,1.2130201061173256
107,abbvie,0.0,1.2140361527561665
108,albemarle_corporation,28.57142857142857,1.2150112481866793
109,aes_corp,16.666666666666664,1.218142920830126
110,avalonbay_communities,14.285714285714285,1.2187952438213328
111,campbell_soup,0.0,1.2188123104877249
112,hewlett_packard_enterprise,13.636363636363635,1.2188843383175825
113,federal_realty_investment_trust,11.76470588235294,1.2195571173251094
114,jack_henry_and_associates,36.36363636363637,1.222561505154662
115,iron_mountain,0.0,1.222728687502681
